id,exercise_type_id,i18n_code,description
df0613d1-8b79-4f21-8e24-58f3d2db9655,353cc6f0-c36d-493b-950c-0166f6159d25,legs_squat,"A lower body exercise targeting quads, hamstrings, and glutes."
73626a02-02e1-402a-bc5b-a21f6818f620,353cc6f0-c36d-493b-950c-0166f6159d25,legs_lunges,Strengthens the legs and glutes with single-leg exercises.
ecf1600d-a08a-447e-b118-19ddca6307fe,353cc6f0-c36d-493b-950c-0166f6159d25,legs_leg_press,"Targets the quads, hamstrings, and glutes using a leg press machine."
96a37978-baf2-4666-82af-66fe7bfc0db2,353cc6f0-c36d-493b-950c-0166f6159d25,legs_calf_raise,Isolates calf muscles to build strength and endurance.
fc2af4ce-b039-4028-a98c-d0d4f4f9f585,353cc6f0-c36d-493b-950c-0166f6159d25,legs_leg_extension,Focuses on quadriceps using a leg extension machine.
00fd83d9-892e-4b85-bf86-ba781572e6e8,353cc6f0-c36d-493b-950c-0166f6159d25,legs_leg_curl,Strengthens the hamstrings using a leg curl machine.
7d735184-57d8-482f-a485-f6e564862ba1,353cc6f0-c36d-493b-950c-0166f6159d25,legs_bulgarian_split_squat,Single-leg squat variation to improve balance and strength.
f132b982-1d3d-4069-9628-a568a28c84f0,92d3c7a3-bab6-4d49-afce-70ed62b7814e,push_bench_press,"A chest-focused exercise involving pectorals, deltoids, and triceps."
fed1d3a1-c90c-453d-939a-df512e3ec7f1,92d3c7a3-bab6-4d49-afce-70ed62b7814e,push_push-up,"Bodyweight exercise targeting chest, shoulders, and triceps."
0dbadae2-eccc-4706-add2-5c56ebe54d78,92d3c7a3-bab6-4d49-afce-70ed62b7814e,push_shoulder_press,Develops shoulder strength and stability with overhead pressing.
62699ec1-8e47-4508-98ad-005d537d8785,92d3c7a3-bab6-4d49-afce-70ed62b7814e,push_dips,"Targets triceps, chest, and shoulders with a compound movement."
681c204c-0568-4a65-93d5-3a1e485e7edc,92d3c7a3-bab6-4d49-afce-70ed62b7814e,push_incline_dumbbell_press,Upper chest-focused pressing movement using dumbbells.
4e495cc5-7720-45a1-a050-d2de556fcb5a,92d3c7a3-bab6-4d49-afce-70ed62b7814e,push_tricep_extension,Isolates the triceps for targeted strength building.
feb9034b-ed40-4273-ab3c-c62756ec3fa9,92d3c7a3-bab6-4d49-afce-70ed62b7814e,push_chest_fly,"Works the chest muscles with a wide, pressing motion."
5d0f32cc-3743-4222-b65f-1bff22615fa0,b4508634-2e74-49b1-88bd-01041aed3e2b,pull_pull-up,Bodyweight exercise for back and biceps strength.
309a0a74-d532-4667-b324-3a793efc5284,b4508634-2e74-49b1-88bd-01041aed3e2b,pull_deadlift,"A compound movement engaging back, glutes, and legs."
